Epoch 156: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.47, Epsilon 0.89, TotalStep 5980
Epoch 157: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.89, TotalStep 6003
Epoch 158: Loss 0.12, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.89, TotalStep 6026
Epoch 159: Loss 0.06, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.89, TotalStep 6047
Epoch 160: Loss 0.15, Reward 1.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.89, TotalStep 6116
Epoch 161: Loss 0.10, Reward 1.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.89, TotalStep 6188
Epoch 162: Loss 0.04, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.89, TotalStep 6209
Epoch 163: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.89, TotalStep 6232
Epoch 164: Loss 0.04, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.89, TotalStep 6255
Epoch 165: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.43, Epsilon 0.89, TotalStep 6278
Epoch 166: Loss 0.10, Reward 2.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.89, TotalStep 6378
Epoch 167: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.89, TotalStep 6401
Epoch 168: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.89, TotalStep 6424
Epoch 169: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.89, TotalStep 6447
Epoch 170: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6470
Epoch 171: Loss 0.04, Reward 1.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6521
Epoch 172: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6544
Epoch 173: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6567
Epoch 174: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6590
Epoch 175: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6611
Epoch 176: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6634
Epoch 177: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6657
Epoch 178: Loss 0.06, Reward 2.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.88, TotalStep 6755
Epoch 179: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.88, TotalStep 6778
Epoch 180: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.88, TotalStep 6801
Epoch 181: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.88, TotalStep 6824
Epoch 182: Loss 0.02, Reward 1.0, Avgloss 0.05, Avgreward 0.47, Epsilon 0.88, TotalStep 6873
Epoch 183: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.88, TotalStep 6896
Epoch 184: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.88, TotalStep 6919
Epoch 185: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.88, TotalStep 6942
Epoch 186: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.43, Epsilon 0.88, TotalStep 6965
Epoch 187: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.43, Epsilon 0.88, TotalStep 6988
Epoch 188: Loss 0.23, Reward 1.0, Avgloss 0.05, Avgreward 0.44, Epsilon 0.87, TotalStep 7058
Epoch 189: Loss 0.10, Reward 2.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.87, TotalStep 7140
Epoch 190: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.87, TotalStep 7163
Epoch 191: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.87, TotalStep 7184
Epoch 192: Loss 0.03, Reward 0.0, Avgloss 0.05, Avgreward 0.45, Epsilon 0.87, TotalStep 7207
Epoch 193: Loss 0.05, Reward 1.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.87, TotalStep 7276
Epoch 194: Loss 0.05, Reward 1.0, Avgloss 0.05, Avgreward 0.47, Epsilon 0.87, TotalStep 7348
Epoch 195: Loss 0.06, Reward 1.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.87, TotalStep 7415
Epoch 196: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.87, TotalStep 7438
Epoch 197: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.48, Epsilon 0.87, TotalStep 7459
Epoch 198: Loss 0.07, Reward 3.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.87, TotalStep 7604
Epoch 199: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.87, TotalStep 7627
Epoch 200: Loss 0.01, Reward 0.0, Avgloss 0.05, Avgreward 0.49, Epsilon 0.87, TotalStep 7650
Epoch 201: Loss 0.02, Reward 1.0, Avgloss 0.05, Avgreward 0.47, Epsilon 0.86, TotalStep 7701
Epoch 202: Loss 0.02, Reward 0.0, Avgloss 0.05, Avgreward 0.46, Epsilon 0.86, TotalStep 7724
Epoch 203: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.46, Epsilon 0.86, TotalStep 7747
Epoch 204: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.46, Epsilon 0.86, TotalStep 7770
Epoch 205: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7791
Epoch 206: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7812
Epoch 207: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.44, Epsilon 0.86, TotalStep 7833
Epoch 208: Loss 0.02, Reward 1.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7886
Epoch 209: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7907
Epoch 210: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7930
Epoch 211: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7953
Epoch 212: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.45, Epsilon 0.86, TotalStep 7976
Epoch 213: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.44, Epsilon 0.86, TotalStep 7999
Epoch 214: Loss 0.11, Reward 0.0, Avgloss 0.04, Avgreward 0.42, Epsilon 0.86, TotalStep 8022
Epoch 215: Loss 0.14, Reward 1.0, Avgloss 0.04, Avgreward 0.42, Epsilon 0.86, TotalStep 8091
Epoch 216: Loss 0.05, Reward 0.0, Avgloss 0.04, Avgreward 0.42, Epsilon 0.86, TotalStep 8114
Epoch 217: Loss 0.03, Reward 0.0, Avgloss 0.04, Avgreward 0.42, Epsilon 0.86, TotalStep 8137
Epoch 218: Loss 0.06, Reward 1.0, Avgloss 0.04, Avgreward 0.42, Epsilon 0.86, TotalStep 8206
Epoch 219: Loss 0.07, Reward 1.0, Avgloss 0.04, Avgreward 0.43, Epsilon 0.86, TotalStep 8278
Epoch 220: Loss 0.01, Reward 0.0, Avgloss 0.04, Avgreward 0.43, Epsilon 0.85, TotalStep 8301
Epoch 221: Loss 0.06, Reward 1.0, Avgloss 0.04, Avgreward 0.41, Epsilon 0.85, TotalStep 8372
Epoch 222: Loss 0.04, Reward 1.0, Avgloss 0.04, Avgreward 0.41, Epsilon 0.85, TotalStep 8444
Epoch 223: Loss 0.07, Reward 2.0, Avgloss 0.04, Avgreward 0.43, Epsilon 0.85, TotalStep 8542
Epoch 224: Loss 0.03, Reward 1.0, Avgloss 0.04, Avgreward 0.44, Epsilon 0.85, TotalStep 8613
Epoch 225: Loss 0.03, Reward 1.0, Avgloss 0.04, Avgreward 0.44, Epsilon 0.85, TotalStep 8685
